sep=;

Matrix Size; Time; PAPI_L2_DCM; PAPI_TLB_DM; PAPI_L2_DCA; PAPI_L3_DCA
600; 0.22748; 39729461; 10386; 218838432; 39729461
1000; 1.54214; 275682114; 268608264; 1111714099; 275682114
1400; 5.60895; 1487572520; 381877945; 3115792108; 1487572520
1800; 22.4293; 8385829891; 4698841742; 8438648195; 8385829891
2200; 44.2529; 24103681713; 10155713813; 16426283486; 24103681713
2600; 81.2221; 50744240756; 17285397761; 28810191362; 50744240756
3000; 134.573; 94825242069; 27036596983; 46855582701; 94825242069


Matrix Size; Time; PAPI_L2_DCM; PAPI_TLB_DM; PAPI_L2_DCA; PAPI_L3_DCA
600; 0.121371; 57427995; 14508; 1456423; 57427995
1000; 0.67104; 260593526; 2006121; 8779333; 260593526
1400; 1.99131; 700620879; 5490451; 24666581; 700620879
1800; 4.27927; 1486580448; 11669447; 56102926; 1486580448
2200; 7.95992; 2693024212; 21364791; 227938771; 2693024212
2600; 13.2631; 4430811845; 35221461; 558856613; 4430811845
3000; 20.2429; 6820663290; 54038597; 853074687; 6820663290
4096; 51.0062; 17553028014; 138206874; 4109593751; 17553028014
6144; 172.54; 60800958352; 465831430; 14320397499; 60800958352
8192; 410.823; 148075861869; 1103972410; 34374876100; 148075861869
10240; 810.769; 328632284707; 2161901557; 70103268228; 328632284707


Matrix Size; Block Size; Time; PAPI_L2_DCM; PAPI_TLB_DM; PAPI_L2_DCA; PAPI_L3_DCA
4096; 128; 46.9781; 32383466581; 7328729; 1770628940; 32383466581
4096; 256; 46.5208; 22595674883; 4362523; 1151298546; 22595674883
4096; 512; 47.7068; 19256402436; 2366230; 877248725; 19256402436
4096; 1024; 49.3725; 18191082907; 206603427; 1011950706; 18191082907
4096; 2048; 50.1182; 17606172573; 172841756; 1252346188; 17606172573
4096; 4096; 50.7852; 17340824696; 137315057; 3600110598; 17340824696
6144; 128; 170.829; 108558184542; 25330585; 6065319597; 108558184542
6144; 256; 150.03; 76389755907; 14780235; 3928032073; 76389755907
6144; 512; 156.447; 65737954746; 53962615; 2800408798; 65737954746
6144; 1024; 166.135; 61721019099; 688856914; 3359147180; 61721019099
6144; 2048; 167.974; 59675822960; 581838330; 4229216860; 59675822960
6144; 4096; 171.011; 59065784968; 542869816; 9900059702; 59065784968
8192; 128; 412.285; 255454202311; 55366016; 13917090390; 255454202311
8192; 256; 561.641; 164577504104; 32137157; 16343511064; 164577504104
8192; 512; 407.273; 148866568820; 15907985; 11512722291; 148866568820
8192; 1024; 408.511; 142824215464; 1644855561; 10148439915; 142824215464
8192; 2048; 407.401; 140543605800; 1380100041; 10981030441; 140543605800
8192; 4096; 407.865; 138527650531; 1251749079; 29105770410; 138527650531
10240; 128; 800.601; 501388697847; 110814694; 28233337019; 501388697847
10240; 256; 710.402; 353211766467; 63405255; 19282399502; 353211766467
10240; 512; 729.576; 304224112389; 74939210; 13415830523; 304224112389
10240; 1024; 774.066; 290469475174; 3203593178; 16517921416; 290469475174
10240; 2048; 800.909; 282988086818; 2699803301; 20533920567; 282988086818
10240; 4096; 814.005; 278630533298; 2474727328; 51826845686; 278630533298
